timestamp_unix,timestamp_iso,cmd,setpoint_kw,latency_ms
1782663648.730,2026-06-28T17:20:48,LOWER,10.00,254.649
1782663652.893,2026-06-28T17:20:52,LOWER,15.00,319.626
1782663656.720,2026-06-28T17:20:56,LOWER,20.00,149.396
1782663661.241,2026-06-28T17:21:01,LOWER,25.00,574.007
1782663665.405,2026-06-28T17:21:05,LOWER,30.00,641.654
1782663669.418,2026-06-28T17:21:09,LOWER,35.00,555.401
1782663673.245,2026-06-28T17:21:13,LOWER,40.00,420.830
1782663677.150,2026-06-28T17:21:17,LOWER,45.00,309.156
1782663681.410,2026-06-28T17:21:21,LOWER,50.00,470.233
1782663685.426,2026-06-28T17:21:25,LOWER,55.00,484.528
1782663689.063,2026-06-28T17:21:29,LOWER,60.00,23.841
1782663693.480,2026-06-28T17:21:33,LOWER,65.00,345.524
1782663697.536,2026-06-28T17:21:37,LOWER,70.00,301.123
1782663701.695,2026-06-28T17:21:41,LOWER,75.00,507.512
1782663705.848,2026-06-28T17:21:45,LOWER,80.00,563.551
1782663709.851,2026-06-28T17:21:49,LOWER,85.00,468.219
1782663713.490,2026-06-28T17:21:53,LOWER,90.00,5.944
1782663717.641,2026-06-28T17:21:57,LOWER,95.00,156.371
1782663721.601,2026-06-28T17:22:01,LOWER,100.00,114.429
1782663725.621,2026-06-28T17:22:05,LOWER,105.00,26.166
1782663729.863,2026-06-28T17:22:09,LOWER,110.00,311.884
1782663733.847,2026-06-28T17:22:13,LOWER,115.00,297.239
1782663738.414,2026-06-28T17:22:18,LOWER,120.00,759.496
1782663741.857,2026-06-28T17:22:21,LOWER,125.00,204.032
1782663745.698,2026-06-28T17:22:25,LOWER,130.00,42.916
1782663750.159,2026-06-28T17:22:30,LOWER,135.00,388.517
1782663754.035,2026-06-28T17:22:34,LOWER,140.00,305.337
1782663758.066,2026-06-28T17:22:38,LOWER,145.00,333.381
1782663762.266,2026-06-28T17:22:42,LOWER,150.00,528.571
1782663766.081,2026-06-28T17:22:46,LOWER,155.00,341.205
1782664227.848,2026-06-28T17:30:27,HIGHER,145.00,32.379
1782664232.043,2026-06-28T17:30:32,HIGHER,135.00,221.946
1782664235.944,2026-06-28T17:30:35,HIGHER,125.00,114.092
1782664240.184,2026-06-28T17:30:40,HIGHER,115.00,347.085
1782664244.041,2026-06-28T17:30:44,HIGHER,105.00,190.623
1782664248.272,2026-06-28T17:30:48,HIGHER,95.00,313.609
1782664252.142,2026-06-28T17:30:52,HIGHER,85.00,224.520
1782664256.054,2026-06-28T17:30:56,HIGHER,75.00,132.482
1782664260.254,2026-06-28T17:31:00,HIGHER,65.00,330.192
1782664264.095,2026-06-28T17:31:04,HIGHER,55.00,171.346
1782664268.371,2026-06-28T17:31:08,HIGHER,45.00,340.331
1782664272.217,2026-06-28T17:31:12,HIGHER,35.00,78.846
1782664276.116,2026-06-28T17:31:16,HIGHER,25.00,15.136
1782664280.558,2026-06-28T17:31:20,HIGHER,15.00,454.690
1782664284.356,2026-06-28T17:31:24,HIGHER,5.00,151.293
1782664288.248,2026-06-28T17:31:28,HIGHER,0.00,42.290
1782664292.519,2026-06-28T17:31:32,LOWER,5.00,312.145
1782664296.453,2026-06-28T17:31:36,HIGHER,0.00,146.310
1782664300.598,2026-06-28T17:31:40,HIGHER,-10.00,322.878
1782664304.535,2026-06-28T17:31:44,LOWER,-5.00,255.787
1782664308.452,2026-06-28T17:31:48,LOWER,0.00,169.990
1782664312.341,2026-06-28T17:31:52,LOWER,5.00,58.107
1782664316.672,2026-06-28T17:31:56,HIGHER,0.00,281.418
1782664320.912,2026-06-28T17:32:00,LOWER,5.00,417.442
1782664324.832,2026-06-28T17:32:04,LOWER,10.00,385.350
1782664329.067,2026-06-28T17:32:09,HIGHER,0.00,515.794
1782664332.945,2026-06-28T17:32:12,HIGHER,-10.00,394.195
1782664336.728,2026-06-28T17:32:16,LOWER,-5.00,180.955
1782664341.006,2026-06-28T17:32:21,LOWER,0.00,363.317
1782664344.794,2026-06-28T17:32:24,LOWER,5.00,53.735
1782664349.503,2026-06-28T17:32:29,HIGHER,0.00,662.606
1782664352.910,2026-06-28T17:32:32,HIGHER,-10.00,111.748
1782664357.117,2026-06-28T17:32:37,LOWER,-5.00,318.758
1782664361.005,2026-06-28T17:32:41,LOWER,0.00,204.080
1782664365.236,2026-06-28T17:32:45,LOWER,5.00,340.484
1782664369.081,2026-06-28T17:32:49,HIGHER,0.00,185.277
1782664373.795,2026-06-28T17:32:53,LOWER,5.00,802.443
1782664377.227,2026-06-28T17:32:57,LOWER,10.00,180.096
