cycle,soh_pct,throughput_kwh,efc,energy_in_kwh,energy_out_kwh,peak_temp_c,end_temp_c
1,99.9394,99.98,0.6059,50.503,49.477,27.5,25.99
2,99.8788,199.899,1.2115,50.472,49.447,27.5,25.97
3,99.8183,299.758,1.8167,50.441,49.418,27.5,25.95
4,99.7578,399.557,2.4216,50.411,49.388,27.5,25.94
5,99.6974,499.294,3.026,50.38,49.358,27.5,25.92
6,99.637,598.972,3.6301,50.35,49.328,27.5,26.0
7,99.5766,698.589,4.2339,50.319,49.298,27.5,25.98
8,99.5163,798.146,4.8372,50.289,49.268,27.5,25.96
9,99.456,897.642,5.4403,50.258,49.238,27.5,25.95
10,99.3957,997.078,6.0429,50.228,49.208,27.5,25.93
11,99.3355,1096.442,6.6451,50.197,49.167,27.5,26.0
12,99.2753,1195.758,7.247,50.167,49.149,27.5,25.99
13,99.2151,1295.013,7.8486,50.137,49.119,27.5,25.97
14,99.155,1394.208,8.4497,50.106,49.089,27.5,25.96
15,99.0949,1493.344,9.0506,50.076,49.059,27.5,25.94
16,99.0349,1592.419,9.651,50.045,49.03,27.5,25.92
17,98.9749,1691.404,10.2509,50.0,48.985,27.5,25.99
18,98.9149,1790.359,10.8507,49.985,48.97,27.5,25.98
19,98.855,1889.254,11.45,49.955,48.941,27.5,25.97
20,98.7951,1988.089,12.049,49.924,48.911,27.5,25.95
21,98.7352,2086.865,12.6477,49.894,48.881,27.5,25.93
22,98.6754,2185.58,13.2459,49.864,48.852,27.5,25.92
23,98.6156,2284.236,13.8439,49.834,48.822,27.5,25.99
24,98.5559,2382.832,14.4414,49.803,48.792,27.5,25.98
25,98.4961,2481.368,15.0386,49.773,48.763,27.5,25.96
26,98.4365,2579.844,15.6354,49.743,48.733,27.5,25.94
27,98.3768,2678.261,16.2319,49.713,48.704,27.5,25.93
28,98.3172,2776.61,16.8279,49.683,48.667,27.5,26.0
29,98.2576,2874.908,17.4237,49.653,48.645,27.5,25.99
30,98.1981,2973.146,18.0191,49.623,48.615,27.5,25.97
31,98.1386,3071.306,18.614,49.583,48.577,27.5,25.95
32,98.0791,3169.425,19.2086,49.562,48.556,27.5,25.94
33,98.0197,3267.485,19.8029,49.532,48.527,27.5,25.92
34,97.9603,3365.485,20.3969,49.502,48.498,27.5,26.0
35,97.901,3463.426,20.9905,49.472,48.468,27.5,25.98
36,97.8416,3561.307,21.5837,49.442,48.439,27.5,25.97
37,97.7823,3659.129,22.1765,49.413,48.41,27.5,25.95
38,97.7231,3756.892,22.769,49.383,48.38,27.5,25.93
39,97.6639,3854.595,23.3612,49.353,48.351,27.5,25.91
40,97.6047,3952.24,23.953,49.323,48.322,27.5,25.99
41,97.5456,4049.825,24.5444,49.293,48.292,27.5,25.98
42,97.4865,4147.351,25.1355,49.263,48.263,27.5,25.96
43,97.4274,4244.818,25.7262,49.233,48.234,27.5,25.94
44,97.3683,4342.226,26.3165,49.203,48.205,27.5,25.93
45,97.3094,4439.559,26.9064,49.167,48.167,27.5,26.0
46,97.2504,4536.849,27.4961,49.144,48.146,27.5,25.99
47,97.1915,4634.08,28.0853,49.114,48.117,27.5,25.97
48,97.1326,4731.252,28.6743,49.084,48.088,27.5,25.96
49,97.0737,4828.365,29.2628,49.054,48.059,27.5,25.94
50,97.0149,4925.419,29.851,49.025,48.03,27.5,25.92
51,96.9561,5022.414,30.4389,48.995,48.0,27.5,26.0
52,96.8974,5119.351,31.0264,48.965,47.971,27.5,25.98
53,96.8386,5216.229,31.6135,48.936,47.942,27.5,25.97
54,96.78,5313.048,32.2003,48.906,47.913,27.5,25.95
55,96.7213,5409.809,32.7867,48.876,47.884,27.5,25.93
56,96.6627,5506.511,33.3728,48.847,47.855,27.5,25.92
57,96.6041,5603.154,33.9585,48.817,47.826,27.5,26.0
58,96.5456,5699.739,34.5439,48.788,47.797,27.5,25.98
59,96.4871,5796.25,35.1288,48.75,47.76,27.5,25.96
60,96.4287,5892.717,35.7134,48.728,47.739,27.5,25.95
61,96.3702,5989.127,36.2977,48.699,47.71,27.5,25.93
62,96.3118,6085.463,36.8816,48.669,47.667,27.5,26.0
63,96.2535,6181.755,37.4652,48.64,47.653,27.5,25.99
