cycle,soh_pct,throughput_kwh,efc,energy_in_kwh,energy_out_kwh,peak_temp_c,end_temp_c
1,99.9443,91.836,0.5566,50.503,41.333,27.5,26.0
2,99.8887,183.644,1.113,50.474,41.333,27.5,26.0
3,99.8331,275.423,1.6692,50.446,41.333,27.5,26.0
4,99.7776,367.007,2.2243,50.417,41.167,27.5,26.0
5,99.7221,458.564,2.7792,50.39,41.167,27.5,26.0
6,99.6666,550.092,3.3339,50.362,41.167,27.5,26.0
7,99.6112,641.593,3.8884,50.334,41.167,27.5,26.0
8,99.5557,733.066,4.4428,50.306,41.167,27.5,26.0
9,99.5003,824.511,4.997,50.278,41.167,27.5,26.0
10,99.4449,915.928,5.5511,50.25,41.167,27.5,26.0
11,99.3896,1007.15,6.1039,50.222,41.0,27.5,26.0
12,99.3343,1098.344,6.6566,50.194,41.0,27.5,26.0
13,99.2791,1189.511,7.2092,50.166,41.0,27.5,26.0
14,99.2238,1280.649,7.7615,50.138,41.0,27.5,26.0
15,99.1686,1371.76,8.3137,50.111,41.0,27.5,26.0
16,99.1134,1462.842,8.8657,50.083,41.0,27.5,26.0
17,99.0582,1553.897,9.4176,50.055,41.0,27.5,26.0
18,99.0032,1644.757,9.9682,50.027,40.833,27.5,26.0
19,98.9481,1735.59,10.5187,49.999,40.833,27.5,26.0
20,98.8931,1826.394,11.0691,49.971,40.833,27.5,26.0
21,98.8381,1917.171,11.6192,49.944,40.833,27.5,26.0
22,98.7831,2007.92,12.1692,49.916,40.833,27.5,26.0
23,98.7281,2098.642,12.719,49.888,40.833,27.5,26.0
24,98.6731,2189.335,13.2687,49.86,40.833,27.5,26.0
25,98.6182,2280.001,13.8182,49.832,40.833,27.5,26.0
26,98.5634,2370.472,14.3665,49.805,40.667,27.5,26.0
27,98.5085,2460.916,14.9146,49.777,40.667,27.5,26.0
28,98.4537,2551.332,15.4626,49.749,40.667,27.5,26.0
29,98.399,2641.72,16.0104,49.722,40.667,27.5,26.0
30,98.3442,2732.081,16.5581,49.694,40.667,27.5,26.0
31,98.2894,2822.414,17.1055,49.666,40.667,27.5,26.0
32,98.2347,2912.719,17.6528,49.639,40.667,27.5,26.0
33,98.1801,3002.83,18.199,49.611,40.5,27.5,26.0
34,98.1255,3092.913,18.7449,49.583,40.5,27.5,26.0
35,98.0709,3182.969,19.2907,49.556,40.5,27.5,26.0
36,98.0164,3272.998,19.8363,49.528,40.5,27.5,26.0
37,97.9618,3362.998,20.3818,49.501,40.5,27.5,26.0
38,97.9073,3452.972,20.9271,49.473,40.5,27.5,26.0
39,97.8528,3542.917,21.4722,49.446,40.5,27.5,26.0
40,97.7984,3632.669,22.0162,49.418,40.333,27.5,26.0
41,97.744,3722.393,22.56,49.391,40.333,27.5,26.0
42,97.6896,3812.089,23.1036,49.363,40.333,27.5,26.0
43,97.6353,3901.758,23.647,49.336,40.333,27.5,26.0
44,97.581,3991.4,24.1903,49.308,40.333,27.5,26.0
45,97.5267,4081.014,24.7334,49.281,40.333,27.5,26.0
46,97.4724,4170.601,25.2764,49.253,40.333,27.5,26.0
