timestamp_unix,timestamp_iso,cmd,bursts,success,transmit_ms,read_ms,pandapower_ms,cycle_ms
1782233257.645,2026-06-23T17:47:37,LOWER,1,1,6.314,0.004,2887.472,2887.590
1782233258.814,2026-06-23T17:47:38,LOWER,1,1,6.221,0.006,29.756,29.857
1782233262.820,2026-06-23T17:47:42,LOWER,1,1,9.287,0.006,29.459,29.558
1782233266.884,2026-06-23T17:47:46,LOWER,1,1,9.345,0.007,44.037,44.170
1782233270.980,2026-06-23T17:47:50,LOWER,1,1,9.865,0.008,44.140,44.277
1782233275.077,2026-06-23T17:47:55,LOWER,1,1,9.639,0.008,44.177,44.312
1782233279.167,2026-06-23T17:47:59,LOWER,1,1,5.440,0.007,43.518,43.634
1782233283.264,2026-06-23T17:48:03,LOWER,1,1,9.097,0.007,45.837,45.974
1782233287.274,2026-06-23T17:48:07,LOWER,1,1,14.024,0.007,44.175,44.311
1782233291.375,2026-06-23T17:48:11,LOWER,1,1,10.929,0.007,44.322,44.434
1782233295.484,2026-06-23T17:48:15,LOWER,1,1,17.986,0.007,44.416,44.549
1782233299.444,2026-06-23T17:48:19,LOWER,1,1,12.659,0.008,45.076,45.213
1782233303.444,2026-06-23T17:48:23,LOWER,1,1,8.365,0.006,43.872,44.008
1782233307.548,2026-06-23T17:48:27,LOWER,1,1,14.748,0.007,44.059,44.193
1782233311.551,2026-06-23T17:48:31,LOWER,1,1,10.257,0.007,44.167,44.302
1782233315.644,2026-06-23T17:48:35,LOWER,1,1,9.073,0.008,42.949,43.084
1782233319.740,2026-06-23T17:48:39,LOWER,1,1,9.933,0.007,43.051,43.184
1782233323.833,2026-06-23T17:48:43,LOWER,1,1,6.484,0.007,42.826,42.963
1782233327.882,2026-06-23T17:48:47,LOWER,1,1,3.566,0.006,42.896,43.043
1782233331.976,2026-06-23T17:48:51,LOWER,1,1,8.796,0.007,42.816,42.950
1782233336.074,2026-06-23T17:48:56,LOWER,1,1,10.151,0.007,43.063,43.200
1782233340.171,2026-06-23T17:49:00,LOWER,1,1,9.351,0.008,43.015,43.150
1782233344.271,2026-06-23T17:49:04,LOWER,1,1,15.797,0.007,43.568,43.706
1782233348.267,2026-06-23T17:49:08,LOWER,1,1,9.201,0.006,42.771,42.904
1782233352.356,2026-06-23T17:49:12,LOWER,1,1,3.237,0.006,42.886,43.021
1782233356.458,2026-06-23T17:49:16,LOWER,1,1,9.940,0.007,43.225,43.360
1782233360.557,2026-06-23T17:49:20,LOWER,1,1,4.568,0.008,45.597,45.735
1782233364.603,2026-06-23T17:49:24,LOWER,1,1,3.161,0.006,41.618,41.745
1782233368.692,2026-06-23T17:49:28,LOWER,1,1,3.666,0.007,43.053,43.190
1782233372.787,2026-06-23T17:49:32,LOWER,1,1,9.668,0.007,42.931,43.066
1782233376.882,2026-06-23T17:49:36,LOWER,1,1,6.263,0.006,42.998,43.131
1782233380.972,2026-06-23T17:49:40,LOWER,1,1,3.508,0.008,43.121,43.258
1782233385.068,2026-06-23T17:49:45,LOWER,1,1,9.701,0.007,42.873,43.009
1782233389.168,2026-06-23T17:49:49,LOWER,1,1,11.925,0.007,43.073,43.207
1782233393.264,2026-06-23T17:49:53,LOWER,1,1,11.054,0.007,43.247,43.382
1782233397.361,2026-06-23T17:49:57,LOWER,1,1,12.366,0.006,40.758,40.882
1782233401.456,2026-06-23T17:50:01,LOWER,1,1,4.700,0.007,43.402,43.529
1782233405.422,2026-06-23T17:50:05,LOWER,1,1,9.438,0.008,52.489,52.658
1782233409.460,2026-06-23T17:50:09,LOWER,1,1,3.113,0.005,30.056,30.155
1782233413.566,2026-06-23T17:50:13,LOWER,1,1,9.617,0.007,44.912,45.047
1782233417.568,2026-06-23T17:50:17,LOWER,1,1,9.847,0.007,43.145,43.269
1782233421.579,2026-06-23T17:50:21,LOWER,1,1,19.306,0.007,43.475,43.596
1782233425.681,2026-06-23T17:50:25,LOWER,1,1,10.081,0.008,42.527,42.652
1782233429.788,2026-06-23T17:50:29,LOWER,1,1,13.277,0.006,43.256,43.376
1782233433.749,2026-06-23T17:50:33,LOWER,1,1,9.381,0.007,45.171,45.310
