timestamp_unix,timestamp_iso,loop_ms,voltage_v,current_a,power_kw,soc_pct
1782314725.509,2026-06-24T16:25:25,5.020,20000.00,0.000,0.000,0.0
1782314729.606,2026-06-24T16:25:29,1.080,20000.00,0.000,0.000,0.0
1782314733.662,2026-06-24T16:25:33,0.778,550.40,18.170,10.001,50.0
1782314737.759,2026-06-24T16:25:37,0.880,550.40,27.250,14.998,50.0
1782314741.756,2026-06-24T16:25:41,0.816,550.40,36.340,20.002,50.0
1782314745.849,2026-06-24T16:25:45,0.642,550.40,45.420,24.999,50.0
1782314749.946,2026-06-24T16:25:49,0.681,550.40,54.510,30.002,50.0
1782314754.045,2026-06-24T16:25:54,0.697,550.40,63.590,35.000,50.0
1782314758.046,2026-06-24T16:25:58,1.131,550.40,72.670,39.998,50.0
1782314762.146,2026-06-24T16:26:02,0.800,550.40,81.760,45.001,50.0
1782314766.099,2026-06-24T16:26:06,1.059,550.40,90.840,49.998,50.0
1782314770.198,2026-06-24T16:26:10,0.684,550.40,99.930,55.001,50.0
1782314774.298,2026-06-24T16:26:14,0.524,550.40,109.000,59.994,50.0
1782314778.298,2026-06-24T16:26:18,0.509,550.40,118.100,65.002,51.0
1782314782.293,2026-06-24T16:26:22,1.036,550.40,127.200,70.011,51.0
1782314786.394,2026-06-24T16:26:26,0.789,550.40,136.300,75.020,51.0
1782314790.490,2026-06-24T16:26:30,0.754,550.40,145.300,79.973,51.0
1782314794.540,2026-06-24T16:26:34,0.694,550.40,154.400,84.982,51.0
1782314798.646,2026-06-24T16:26:38,1.776,550.40,163.500,89.990,51.0
1782314802.645,2026-06-24T16:26:42,0.573,550.40,172.600,94.999,51.0
1782314806.649,2026-06-24T16:26:46,0.706,550.40,181.700,100.008,51.0
1782314810.655,2026-06-24T16:26:50,0.637,550.40,190.800,105.016,51.0
1782314814.757,2026-06-24T16:26:54,0.515,550.40,199.900,110.025,52.0
1782314818.863,2026-06-24T16:26:58,0.526,550.40,208.900,114.979,52.0
1782314822.815,2026-06-24T16:27:02,0.828,550.40,218.000,119.987,52.0
1782314826.918,2026-06-24T16:27:06,0.694,550.40,227.100,124.996,52.0
1782314830.914,2026-06-24T16:27:10,0.922,550.40,236.200,130.004,52.0
1782314834.930,2026-06-24T16:27:14,0.743,550.40,245.300,135.013,52.0
1782314838.968,2026-06-24T16:27:18,0.628,550.40,254.400,140.022,53.0
1782314843.067,2026-06-24T16:27:23,0.686,550.40,263.400,144.975,53.0
1782314847.173,2026-06-24T16:27:27,0.516,550.40,272.500,149.984,53.0
1782314851.122,2026-06-24T16:27:31,0.509,550.40,281.600,154.993,53.0
1782314855.150,2026-06-24T16:27:35,0.782,550.40,281.600,154.993,53.0
1782314859.225,2026-06-24T16:27:39,0.511,550.40,281.600,154.993,54.0
1782314863.313,2026-06-24T16:27:43,0.675,550.40,281.600,154.993,54.0
1782314867.403,2026-06-24T16:27:47,0.511,550.40,281.600,154.993,54.0
1782314871.489,2026-06-24T16:27:51,0.509,550.40,281.600,154.993,54.0
1782314875.577,2026-06-24T16:27:55,0.676,550.40,281.600,154.993,54.0
1782314879.664,2026-06-24T16:27:59,0.705,550.40,281.600,154.993,55.0
1782314883.752,2026-06-24T16:28:03,0.630,550.40,281.600,154.993,55.0
1782314887.799,2026-06-24T16:28:07,0.689,550.40,281.600,154.993,55.0
1782314891.890,2026-06-24T16:28:11,0.583,550.40,281.600,154.993,55.0
1782314895.978,2026-06-24T16:28:15,0.685,550.40,281.600,154.993,55.0
1782314900.067,2026-06-24T16:28:20,0.567,550.40,281.600,154.993,56.0
1782314904.157,2026-06-24T16:28:24,0.515,550.40,281.600,154.993,56.0
1782314908.246,2026-06-24T16:28:28,0.518,550.40,281.600,154.993,56.0
1782314912.335,2026-06-24T16:28:32,0.625,550.40,281.600,154.993,56.0
1782314916.424,2026-06-24T16:28:36,0.542,550.40,281.600,154.993,57.0
1782314920.514,2026-06-24T16:28:40,0.668,550.40,281.600,154.993,57.0
1782314924.604,2026-06-24T16:28:44,0.744,550.40,281.600,154.993,57.0
1782314928.664,2026-06-24T16:28:48,0.722,550.40,281.600,154.993,57.0
1782314932.658,2026-06-24T16:28:52,0.531,550.40,290.700,160.001,57.0
1782314936.751,2026-06-24T16:28:56,0.505,550.40,281.600,154.993,58.0
1782314940.849,2026-06-24T16:29:00,2.021,550.40,272.500,149.984,58.0
1782314944.845,2026-06-24T16:29:04,0.700,550.40,263.400,144.975,58.0
1782314948.943,2026-06-24T16:29:08,0.506,550.40,254.400,140.022,58.0
1782314953.039,2026-06-24T16:29:13,0.552,550.40,245.300,135.013,58.0
1782314957.139,2026-06-24T16:29:17,0.511,550.40,236.200,130.004,59.0
1782314961.095,2026-06-24T16:29:21,0.758,550.40,227.100,124.996,59.0
1782314965.098,2026-06-24T16:29:25,0.659,550.40,218.000,119.987,59.0
1782314969.118,2026-06-24T16:29:29,0.646,550.40,208.900,114.979,59.0
1782314973.114,2026-06-24T16:29:33,0.503,550.40,199.900,110.025,59.0
1782314977.204,2026-06-24T16:29:37,0.517,550.40,190.800,105.016,59.0
1782314981.305,2026-06-24T16:29:41,0.525,550.40,181.700,100.008,59.0
1782314985.362,2026-06-24T16:29:45,0.520,550.40,172.600,94.999,60.0
1782314989.456,2026-06-24T16:29:49,0.623,550.40,163.500,89.990,60.0
1782314993.558,2026-06-24T16:29:53,0.517,550.40,154.400,84.982,60.0
1782314997.554,2026-06-24T16:29:57,0.511,550.40,145.300,79.973,60.0
1782315001.646,2026-06-24T16:30:01,0.504,550.40,136.300,75.020,60.0
1782315005.735,2026-06-24T16:30:05,0.569,550.40,127.200,70.011,60.0
1782315009.828,2026-06-24T16:30:09,0.519,550.40,118.100,65.002,60.0
1782315013.929,2026-06-24T16:30:13,0.503,550.40,109.000,59.994,60.0
1782315018.030,2026-06-24T16:30:18,0.615,550.40,99.930,55.001,60.0
1782315021.994,2026-06-24T16:30:21,0.555,550.40,90.840,49.998,60.0
1782315025.991,2026-06-24T16:30:25,0.614,550.40,81.760,45.001,61.0
1782315029.988,2026-06-24T16:30:29,0.614,550.40,72.670,39.998,61.0
1782315034.083,2026-06-24T16:30:34,0.514,550.40,63.590,35.000,61.0
1782315038.178,2026-06-24T16:30:38,0.520,550.40,54.510,30.002,61.0
1782315042.269,2026-06-24T16:30:42,0.577,550.40,45.420,24.999,61.0
1782315046.366,2026-06-24T16:30:46,0.609,550.40,36.340,20.002,61.0
1782315050.329,2026-06-24T16:30:50,0.509,550.40,27.250,14.998,61.0
1782315054.420,2026-06-24T16:30:54,0.531,550.40,18.170,10.001,61.0
1782315058.520,2026-06-24T16:30:58,0.543,550.40,9.084,5.000,61.0
1782315062.615,2026-06-24T16:31:02,0.657,550.40,0.000,0.000,61.0
1782315066.615,2026-06-24T16:31:06,0.512,550.40,-9.084,-5.000,61.0
1782315070.711,2026-06-24T16:31:10,0.566,550.40,-18.170,-10.001,61.0
1782315074.808,2026-06-24T16:31:14,0.670,550.40,-27.250,-14.998,61.0
1782315078.902,2026-06-24T16:31:18,0.505,550.40,-36.340,-20.002,61.0
1782315082.954,2026-06-24T16:31:22,0.504,550.40,-36.340,-20.002,61.0
1782315087.052,2026-06-24T16:31:27,0.578,550.40,-36.340,-20.002,61.0
1782315091.147,2026-06-24T16:31:31,0.579,550.40,-36.340,-20.002,61.0
1782315095.245,2026-06-24T16:31:35,0.560,550.40,-36.340,-20.002,61.0
1782315099.338,2026-06-24T16:31:39,0.508,550.40,-36.340,-20.002,61.0
1782315103.431,2026-06-24T16:31:43,0.590,550.40,-36.340,-20.002,61.0
1782315107.525,2026-06-24T16:31:47,0.540,550.40,-36.340,-20.002,61.0
1782315111.625,2026-06-24T16:31:51,0.500,550.40,-36.340,-20.002,61.0
1782315115.733,2026-06-24T16:31:55,0.574,550.40,-36.340,-20.002,60.0
1782315119.824,2026-06-24T16:31:59,0.646,550.40,-36.340,-20.002,60.0
1782315123.869,2026-06-24T16:32:03,0.604,550.40,-36.340,-20.002,60.0
1782315127.959,2026-06-24T16:32:07,0.526,550.40,-36.340,-20.002,60.0
1782315132.059,2026-06-24T16:32:12,0.500,550.40,-36.340,-20.002,60.0
1782315136.155,2026-06-24T16:32:16,0.567,550.40,-36.340,-20.002,60.0
1782315140.257,2026-06-24T16:32:20,0.513,550.40,-36.340,-20.002,60.0
1782315144.257,2026-06-24T16:32:24,0.523,550.40,-36.340,-20.002,60.0
1782315148.353,2026-06-24T16:32:28,0.510,550.40,-36.340,-20.002,60.0
1782315152.453,2026-06-24T16:32:32,0.601,550.40,-36.340,-20.002,60.0
1782315156.553,2026-06-24T16:32:36,0.501,550.40,-36.340,-20.002,60.0
1782315160.606,2026-06-24T16:32:40,0.604,550.40,-36.340,-20.002,60.0
1782315164.715,2026-06-24T16:32:44,0.513,550.40,-36.340,-20.002,60.0
1782315168.712,2026-06-24T16:32:48,0.506,550.40,-36.340,-20.002,60.0
