timestamp_unix,timestamp_iso,direction,size_bytes,cumulative_rx_bytes,cumulative_tx_bytes
1782663615.594,2026-06-28T17:20:15,tx,45,0,45
1782663616.636,2026-06-28T17:20:16,rx,12,12,45
1782663619.062,2026-06-28T17:20:19,tx,47,12,92
1782663621.634,2026-06-28T17:20:21,rx,38,50,92
1782663623.119,2026-06-28T17:20:23,tx,25,50,117
1782663624.575,2026-06-28T17:20:24,rx,46,96,117
1782663627.133,2026-06-28T17:20:27,tx,2186,96,2303
1782663629.597,2026-06-28T17:20:29,rx,27,123,2303
1782663630.506,2026-06-28T17:20:30,tx,26,123,2329
1782663631.422,2026-06-28T17:20:31,rx,32,155,2329
1782663632.629,2026-06-28T17:20:32,tx,27,155,2356
1782663633.902,2026-06-28T17:20:33,rx,271,426,2356
1782663634.749,2026-06-28T17:20:34,tx,29,426,2385
1782663635.545,2026-06-28T17:20:35,rx,27,453,2385
1782663636.469,2026-06-28T17:20:36,tx,60,453,2445
1782663637.276,2026-06-28T17:20:37,rx,64,517,2445
1782663637.990,2026-06-28T17:20:37,tx,112,517,2557
1782663638.984,2026-06-28T17:20:38,rx,425,942,2557
1782663639.762,2026-06-28T17:20:39,tx,25,942,2582
1782663640.256,2026-06-28T17:20:40,rx,27,969,2582
1782663640.664,2026-06-28T17:20:40,tx,25,969,2607
1782663641.092,2026-06-28T17:20:41,rx,27,996,2607
1782663641.543,2026-06-28T17:20:41,tx,32,996,2639
1782663642.016,2026-06-28T17:20:42,rx,30,1026,2639
1782663642.455,2026-06-28T17:20:42,tx,32,1026,2671
1782663642.917,2026-06-28T17:20:42,rx,30,1056,2671
1782663643.327,2026-06-28T17:20:43,tx,32,1056,2703
1782663643.735,2026-06-28T17:20:43,rx,30,1086,2703
1782663644.200,2026-06-28T17:20:44,tx,32,1086,2735
1782663644.679,2026-06-28T17:20:44,rx,30,1116,2735
1782663645.250,2026-06-28T17:20:45,tx,27,1116,2762
1782663645.912,2026-06-28T17:20:45,rx,27,1143,2762
1782663646.568,2026-06-28T17:20:46,tx,38,1143,2800
1782663647.230,2026-06-28T17:20:47,rx,27,1170,2800
1782663648.143,2026-06-28T17:20:48,tx,40,1170,2840
1782663649.021,2026-06-28T17:20:49,rx,64,1234,2840
1782663649.441,2026-06-28T17:20:49,tx,40,1234,2880
1782663649.856,2026-06-28T17:20:49,rx,64,1298,2880
1782663650.287,2026-06-28T17:20:50,tx,41,1298,2921
1782663650.722,2026-06-28T17:20:50,rx,64,1362,2921
1782663651.100,2026-06-28T17:20:51,tx,41,1362,2962
1782663651.548,2026-06-28T17:20:51,rx,64,1426,2962
