tick,sim_min,ev0_soc_pct,ev1_soc_pct,ev2_soc_pct,ev3_soc_pct,ev4_soc_pct,ev5_soc_pct,ev6_soc_pct,ev7_soc_pct,ev8_soc_pct,ev9_soc_pct,mean_soc_pct,total_power_kw,bus2_voltage_pu,trafo_loading_pct,line_loading_pct,cmd,bursts,cumulative_higher,cumulative_lower,grid_stress
0,0.00,20.02,24.47,28.91,33.36,37.80,42.24,46.69,51.13,55.58,60.02,40.02,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
1,0.07,20.04,24.49,28.93,33.38,37.82,42.27,46.71,51.16,55.60,60.04,40.04,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
2,0.13,20.07,24.51,28.96,33.40,37.85,42.29,46.73,51.18,55.62,60.07,40.07,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
3,0.20,20.09,24.53,28.98,33.42,37.87,42.31,46.76,51.20,55.65,60.09,40.09,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
4,0.27,20.11,24.56,29.00,33.45,37.89,42.33,46.78,51.22,55.67,60.11,40.11,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
5,0.33,20.13,24.58,29.02,33.47,37.91,42.36,46.80,51.25,55.69,60.13,40.13,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
6,0.40,20.16,24.60,29.05,33.49,37.93,42.38,46.82,51.27,55.71,60.16,40.16,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
7,0.47,20.18,24.62,29.07,33.51,37.96,42.40,46.85,51.29,55.74,60.18,40.18,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
8,0.53,20.20,24.65,29.09,33.54,37.98,42.42,46.87,51.31,55.76,60.20,40.20,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
9,0.60,20.22,24.67,29.11,33.56,38.00,42.45,46.89,51.34,55.78,60.22,40.22,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
10,0.67,20.25,24.69,29.14,33.58,38.02,42.47,46.91,51.36,55.80,60.25,40.25,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
11,0.73,20.27,24.71,29.16,33.60,38.05,42.49,46.94,51.38,55.82,60.27,40.27,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
12,0.80,20.29,24.74,29.18,33.63,38.07,42.51,46.96,51.40,55.85,60.29,40.29,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
13,0.87,20.31,24.76,29.20,33.65,38.09,42.54,46.98,51.43,55.87,60.31,40.31,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
14,0.93,20.34,24.78,29.23,33.67,38.11,42.56,47.00,51.45,55.89,60.34,40.34,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
15,1.00,20.36,24.80,29.25,33.69,38.14,42.58,47.03,51.47,55.91,60.36,40.36,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
16,1.07,20.38,24.83,29.27,33.71,38.16,42.60,47.05,51.49,55.94,60.38,40.38,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
17,1.13,20.40,24.85,29.29,33.74,38.18,42.63,47.07,51.51,55.96,60.40,40.40,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
18,1.20,20.43,24.87,29.32,33.76,38.20,42.65,47.09,51.54,55.98,60.43,40.43,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
19,1.27,20.45,24.89,29.34,33.78,38.23,42.67,47.12,51.56,56.00,60.45,40.45,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
20,1.33,20.47,24.92,29.36,33.80,38.25,42.69,47.14,51.58,56.03,60.47,40.47,170.000,0.9669,52.68,84.60,HOLD,0,0,0,0
