timestamp_unix,timestamp_iso,direction,msg_type,size_bytes,processing_ms
1782233254.484,2026-06-23T17:47:34,incoming,BootNotification,144,0.000
1782233254.487,2026-06-23T17:47:34,outgoing,CallResult,127,0.000
1782233254.533,2026-06-23T17:47:34,incoming,Heartbeat,57,0.000
1782233254.534,2026-06-23T17:47:34,outgoing,CallResult,81,0.000
1782233254.543,2026-06-23T17:47:34,incoming,MeterValues,859,0.000
1782233254.544,2026-06-23T17:47:34,incoming,MeterValues,0,0.310
1782233254.545,2026-06-23T17:47:34,outgoing,CallResult,45,0.000
1782233264.558,2026-06-23T17:47:44,incoming,Heartbeat,57,0.000
1782233264.560,2026-06-23T17:47:44,outgoing,CallResult,81,0.000
1782233264.592,2026-06-23T17:47:44,incoming,MeterValues,859,0.000
1782233264.594,2026-06-23T17:47:44,incoming,MeterValues,0,0.463
1782233264.595,2026-06-23T17:47:44,outgoing,CallResult,45,0.000
1782233274.601,2026-06-23T17:47:54,incoming,Heartbeat,57,0.000
1782233274.602,2026-06-23T17:47:54,outgoing,CallResult,81,0.000
1782233274.640,2026-06-23T17:47:54,incoming,MeterValues,859,0.000
1782233274.642,2026-06-23T17:47:54,incoming,MeterValues,0,0.412
1782233274.643,2026-06-23T17:47:54,outgoing,CallResult,45,0.000
1782233284.650,2026-06-23T17:48:04,incoming,Heartbeat,57,0.000
1782233284.651,2026-06-23T17:48:04,outgoing,CallResult,81,0.000
1782233284.674,2026-06-23T17:48:04,incoming,MeterValues,859,0.000
1782233284.677,2026-06-23T17:48:04,incoming,MeterValues,0,0.407
1782233284.677,2026-06-23T17:48:04,outgoing,CallResult,45,0.000
1782233297.063,2026-06-23T17:48:17,incoming,Heartbeat,57,0.000
1782233297.064,2026-06-23T17:48:17,outgoing,CallResult,81,0.000
1782233297.092,2026-06-23T17:48:17,incoming,MeterValues,859,0.000
1782233297.094,2026-06-23T17:48:17,incoming,MeterValues,0,0.393
1782233297.095,2026-06-23T17:48:17,outgoing,CallResult,45,0.000
1782233307.103,2026-06-23T17:48:27,incoming,Heartbeat,57,0.000
1782233307.104,2026-06-23T17:48:27,outgoing,CallResult,81,0.000
1782233307.130,2026-06-23T17:48:27,incoming,MeterValues,859,0.000
1782233307.132,2026-06-23T17:48:27,incoming,MeterValues,0,0.321
1782233307.132,2026-06-23T17:48:27,outgoing,CallResult,45,0.000
1782233317.416,2026-06-23T17:48:37,incoming,Heartbeat,57,0.000
1782233317.417,2026-06-23T17:48:37,outgoing,CallResult,81,0.000
1782233317.434,2026-06-23T17:48:37,incoming,MeterValues,866,0.000
1782233317.436,2026-06-23T17:48:37,incoming,MeterValues,0,0.265
1782233317.436,2026-06-23T17:48:37,outgoing,CallResult,45,0.000
1782233327.662,2026-06-23T17:48:47,incoming,Heartbeat,57,0.000
1782233327.663,2026-06-23T17:48:47,outgoing,CallResult,81,0.000
1782233327.675,2026-06-23T17:48:47,incoming,MeterValues,876,0.000
1782233327.677,2026-06-23T17:48:47,incoming,MeterValues,0,0.300
1782233327.677,2026-06-23T17:48:47,outgoing,CallResult,45,0.000
1782233331.375,2026-06-23T17:48:51,outgoing,SetVariables,461,0.000
1782233331.419,2026-06-23T17:48:51,incoming,CallResult,472,0.000
1782233335.144,2026-06-23T17:48:55,outgoing,SetVariables,461,0.000
1782233335.361,2026-06-23T17:48:55,incoming,CallResult,472,0.000
1782233336.420,2026-06-23T17:48:56,outgoing,SetVariables,461,0.000
1782233336.681,2026-06-23T17:48:56,incoming,CallResult,472,0.000
1782233337.952,2026-06-23T17:48:57,incoming,Heartbeat,57,0.000
1782233337.953,2026-06-23T17:48:57,outgoing,CallResult,81,0.000
1782233337.961,2026-06-23T17:48:57,incoming,MeterValues,878,0.000
1782233337.964,2026-06-23T17:48:57,incoming,MeterValues,0,0.272
1782233337.964,2026-06-23T17:48:57,outgoing,CallResult,45,0.000
1782233348.043,2026-06-23T17:49:08,incoming,Heartbeat,57,0.000
1782233348.044,2026-06-23T17:49:08,outgoing,CallResult,81,0.000
1782233348.053,2026-06-23T17:49:08,incoming,MeterValues,878,0.000
1782233348.055,2026-06-23T17:49:08,incoming,MeterValues,0,0.216
1782233348.055,2026-06-23T17:49:08,outgoing,CallResult,45,0.000
1782233358.064,2026-06-23T17:49:18,incoming,Heartbeat,57,0.000
1782233358.065,2026-06-23T17:49:18,outgoing,CallResult,81,0.000
1782233358.094,2026-06-23T17:49:18,incoming,MeterValues,876,0.000
1782233358.096,2026-06-23T17:49:18,incoming,MeterValues,0,0.393
1782233358.097,2026-06-23T17:49:18,outgoing,CallResult,45,0.000
1782233368.102,2026-06-23T17:49:28,incoming,Heartbeat,57,0.000
1782233368.103,2026-06-23T17:49:28,outgoing,CallResult,81,0.000
1782233368.129,2026-06-23T17:49:28,incoming,MeterValues,877,0.000
1782233368.131,2026-06-23T17:49:28,incoming,MeterValues,0,0.273
1782233368.131,2026-06-23T17:49:28,outgoing,CallResult,45,0.000
1782233378.244,2026-06-23T17:49:38,incoming,Heartbeat,57,0.000
1782233378.245,2026-06-23T17:49:38,outgoing,CallResult,81,0.000
1782233378.254,2026-06-23T17:49:38,incoming,MeterValues,877,0.000
1782233378.257,2026-06-23T17:49:38,incoming,MeterValues,0,0.262
1782233378.257,2026-06-23T17:49:38,outgoing,CallResult,45,0.000
1782233388.377,2026-06-23T17:49:48,incoming,Heartbeat,57,0.000
1782233388.378,2026-06-23T17:49:48,outgoing,CallResult,81,0.000
1782233388.388,2026-06-23T17:49:48,incoming,MeterValues,887,0.000
1782233388.390,2026-06-23T17:49:48,incoming,MeterValues,0,0.268
1782233388.391,2026-06-23T17:49:48,outgoing,CallResult,45,0.000
1782233398.530,2026-06-23T17:49:58,incoming,Heartbeat,57,0.000
1782233398.531,2026-06-23T17:49:58,outgoing,CallResult,81,0.000
1782233398.538,2026-06-23T17:49:58,incoming,MeterValues,889,0.000
1782233398.541,2026-06-23T17:49:58,incoming,MeterValues,0,0.373
1782233398.541,2026-06-23T17:49:58,outgoing,CallResult,45,0.000
1782233408.957,2026-06-23T17:50:08,incoming,Heartbeat,57,0.000
1782233408.958,2026-06-23T17:50:08,outgoing,CallResult,81,0.000
1782233408.966,2026-06-23T17:50:08,incoming,MeterValues,879,0.000
1782233408.967,2026-06-23T17:50:08,incoming,MeterValues,0,0.252
1782233408.967,2026-06-23T17:50:08,outgoing,CallResult,45,0.000
1782233419.165,2026-06-23T17:50:19,incoming,Heartbeat,57,0.000
1782233419.166,2026-06-23T17:50:19,outgoing,CallResult,81,0.000
1782233419.179,2026-06-23T17:50:19,incoming,MeterValues,880,0.000
1782233419.182,2026-06-23T17:50:19,incoming,MeterValues,0,0.414
1782233419.182,2026-06-23T17:50:19,outgoing,CallResult,45,0.000
1782233429.816,2026-06-23T17:50:29,incoming,Heartbeat,57,0.000
1782233429.817,2026-06-23T17:50:29,outgoing,CallResult,81,0.000
1782233429.829,2026-06-23T17:50:29,incoming,MeterValues,889,0.000
1782233429.831,2026-06-23T17:50:29,incoming,MeterValues,0,0.371
1782233429.832,2026-06-23T17:50:29,outgoing,CallResult,45,0.000
1782233440.194,2026-06-23T17:50:40,incoming,Heartbeat,57,0.000
1782233440.195,2026-06-23T17:50:40,outgoing,CallResult,81,0.000
1782233440.207,2026-06-23T17:50:40,incoming,MeterValues,880,0.000
