time_min,soc_percent,power_kw,phase
0.0,10.0,0.0,done
1.0,10.35,17.013,ramp
2.0,10.7,17.036,ramp
3.0,11.05,17.058,ramp
4.0,11.4,17.079,ramp
5.0,11.75,17.099,ramp
6.0,12.1,17.118,ramp
7.0,12.45,17.136,ramp
8.0,12.8,17.153,ramp
9.0,13.15,17.169,ramp
10.0,13.5,17.185,ramp
11.0,13.85,17.2,ramp
12.0,14.2,17.215,ramp
13.0,14.55,17.228,ramp
14.0,14.9,17.242,ramp
15.0,15.25,17.254,CC
16.0,15.6,17.267,CC
17.0,15.95,17.279,CC
18.0,16.3,17.29,CC
19.0,16.65,17.302,CC
20.0,17.0,17.313,CC
21.0,17.35,17.324,CC
22.0,17.7,17.335,CC
23.0,18.05,17.345,CC
24.0,18.4,17.356,CC
25.0,18.75,17.366,CC
26.0,19.1,17.377,CC
27.0,19.45,17.388,CC
28.0,19.8,17.399,CC
29.0,20.15,17.41,CC
30.0,20.5,17.421,CC
31.0,20.85,17.433,CC
32.0,21.2,17.444,CC
33.0,21.55,17.455,CC
34.0,21.9,17.466,CC
35.0,22.25,17.477,CC
36.0,22.6,17.487,CC
37.0,22.95,17.498,CC
38.0,23.3,17.508,CC
39.0,23.65,17.519,CC
40.0,24.0,17.529,CC
41.0,24.35,17.539,CC
42.0,24.7,17.549,CC
43.0,25.05,17.559,CC
44.0,25.4,17.568,CC
45.0,25.75,17.578,CC
46.0,26.1,17.587,CC
47.0,26.45,17.597,CC
48.0,26.8,17.606,CC
49.0,27.15,17.615,CC
50.0,27.5,17.623,CC
51.0,27.85,17.632,CC
52.0,28.2,17.64,CC
53.0,28.55,17.649,CC
54.0,28.9,17.657,CC
55.0,29.25,17.665,CC
56.0,29.6,17.672,CC
57.0,29.95,17.68,CC
58.0,30.3,17.687,CC
59.0,30.65,17.694,CC
60.0,31.0,17.701,CC
61.0,31.35,17.708,CC
62.0,31.7,17.714,CC
63.0,32.05,17.721,CC
