time_min,soc_percent,power_kw,phase
0.0,10.0,0.0,done
1.0,10.35,16.271,ramp
2.0,10.7,16.293,ramp
3.0,11.05,16.314,ramp
4.0,11.4,16.334,ramp
5.0,11.75,16.353,ramp
6.0,12.1,16.371,ramp
7.0,12.45,16.388,ramp
8.0,12.8,16.405,ramp
9.0,13.15,16.42,ramp
10.0,13.5,16.435,ramp
11.0,13.85,16.45,ramp
12.0,14.2,16.464,ramp
13.0,14.55,16.477,ramp
14.0,14.9,16.49,ramp
15.0,15.25,16.502,CC
16.0,15.6,16.514,CC
17.0,15.95,16.525,CC
18.0,16.3,16.536,CC
19.0,16.65,16.547,CC
20.0,17.0,16.558,CC
21.0,17.35,16.568,CC
22.0,17.7,16.578,CC
23.0,18.05,16.589,CC
24.0,18.4,16.599,CC
25.0,18.75,16.609,CC
26.0,19.1,16.619,CC
27.0,19.45,16.629,CC
28.0,19.8,16.64,CC
29.0,20.15,16.65,CC
30.0,20.5,16.661,CC
31.0,20.85,16.672,CC
32.0,21.2,16.683,CC
33.0,21.55,16.693,CC
34.0,21.9,16.704,CC
35.0,22.25,16.714,CC
36.0,22.6,16.724,CC
37.0,22.95,16.735,CC
38.0,23.3,16.745,CC
39.0,23.65,16.754,CC
40.0,24.0,16.764,CC
41.0,24.35,16.774,CC
42.0,24.7,16.783,CC
43.0,25.05,16.793,CC
44.0,25.4,16.802,CC
45.0,25.75,16.811,CC
46.0,26.1,16.82,CC
47.0,26.45,16.829,CC
48.0,26.8,16.838,CC
49.0,27.15,16.846,CC
50.0,27.5,16.855,CC
51.0,27.85,16.863,CC
52.0,28.2,16.871,CC
53.0,28.55,16.879,CC
54.0,28.9,16.886,CC
55.0,29.25,16.894,CC
56.0,29.6,16.901,CC
57.0,29.95,16.909,CC
58.0,30.3,16.916,CC
59.0,30.65,16.922,CC
60.0,31.0,16.929,CC
61.0,31.35,16.935,CC
62.0,31.7,16.942,CC
63.0,32.05,16.948,CC
64.0,32.4,16.954,CC
65.0,32.75,16.959,CC
66.0,33.1,16.965,CC
67.0,33.45,16.97,CC
68.0,33.8,16.976,CC
69.0,34.15,16.981,CC
70.0,34.5,16.986,CC
71.0,34.85,16.992,CC
72.0,35.2,16.997,CC
