tick,sim_min,ev0_soc_pct,ev1_soc_pct,ev2_soc_pct,ev3_soc_pct,ev4_soc_pct,ev5_soc_pct,ev6_soc_pct,ev7_soc_pct,ev8_soc_pct,ev9_soc_pct,ev10_soc_pct,ev11_soc_pct,ev12_soc_pct,ev13_soc_pct,ev14_soc_pct,ev15_soc_pct,ev16_soc_pct,ev17_soc_pct,ev18_soc_pct,ev19_soc_pct,mean_soc_pct,total_power_kw,bus2_voltage_pu,trafo_loading_pct,line_loading_pct,cmd,bursts,cumulative_higher,cumulative_lower,grid_stress
0,0.00,20.02,22.13,24.23,26.34,28.44,30.55,32.65,34.76,36.86,38.97,41.08,43.18,45.29,47.39,49.50,51.60,53.71,55.81,57.92,60.02,40.02,340.000,0.9475,133.47,214.90,LOWER,1,0,1,1
1,0.07,20.05,22.15,24.26,26.36,28.47,30.57,32.68,34.78,36.89,38.99,41.10,43.20,45.31,47.41,49.52,51.62,53.73,55.83,57.94,60.05,40.05,345.000,0.9462,137.78,221.85,HIGHER,4,4,1,1
2,0.13,20.07,22.17,24.28,26.38,28.49,30.59,32.70,34.80,36.91,39.01,41.12,43.22,45.33,47.44,49.54,51.65,53.75,55.86,57.96,60.07,40.07,325.000,0.9506,122.26,196.82,HIGHER,4,8,1,1
3,0.20,20.09,22.19,24.30,26.40,28.51,30.61,32.72,34.82,36.93,39.03,41.14,43.24,45.35,47.46,49.56,51.67,53.77,55.88,57.98,60.09,40.09,305.000,0.9539,109.78,176.69,HIGHER,4,12,1,1
4,0.27,20.11,22.21,24.32,26.42,28.53,30.63,32.74,34.84,36.95,39.05,41.16,43.26,45.37,47.47,49.58,51.68,53.79,55.90,58.00,60.11,40.11,285.000,0.9566,99.03,159.35,HIGHER,4,16,1,1
5,0.33,20.12,22.23,24.33,26.44,28.54,30.65,32.75,34.86,36.97,39.07,41.18,43.28,45.39,47.49,49.60,51.70,53.81,55.91,58.02,60.12,40.12,265.000,0.9590,89.42,143.85,HIGHER,4,20,1,1
6,0.40,20.14,22.24,24.35,26.46,28.56,30.67,32.77,34.88,36.98,39.09,41.19,43.30,45.40,47.51,49.61,51.72,53.82,55.93,58.03,60.14,40.14,245.000,0.9610,80.64,129.70,HIGHER,4,24,1,1
7,0.47,20.15,22.26,24.36,26.47,28.58,30.68,32.79,34.89,37.00,39.10,41.21,43.31,45.42,47.52,49.63,51.73,53.84,55.94,58.05,60.15,40.15,225.000,0.9628,72.52,116.60,HIGHER,4,28,1,1
8,0.53,20.17,22.27,24.38,26.48,28.59,30.69,32.80,34.90,37.01,39.11,41.22,43.33,45.43,47.54,49.64,51.75,53.85,55.96,58.06,60.17,40.17,205.000,0.9644,64.93,104.36,HIGHER,4,32,1,1
9,0.60,20.18,22.29,24.39,26.50,28.60,30.71,32.81,34.92,37.02,39.13,41.23,43.34,45.44,47.55,49.65,51.76,53.86,55.97,58.07,60.18,40.18,185.000,0.9659,57.78,92.83,HIGHER,4,36,1,1
10,0.67,20.19,22.30,24.40,26.51,28.61,30.72,32.82,34.93,37.03,39.14,41.24,43.35,45.45,47.56,49.66,51.77,53.87,55.98,58.09,60.19,40.19,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
11,0.73,20.20,22.31,24.41,26.52,28.62,30.73,32.83,34.94,37.04,39.15,41.25,43.36,45.46,47.57,49.68,51.78,53.89,55.99,58.10,60.20,40.20,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
12,0.80,20.21,22.32,24.42,26.53,28.63,30.74,32.84,34.95,37.05,39.16,41.27,43.37,45.48,47.58,49.69,51.79,53.90,56.00,58.11,60.21,40.21,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
13,0.87,20.22,22.33,24.43,26.54,28.64,30.75,32.85,34.96,37.07,39.17,41.28,43.38,45.49,47.59,49.70,51.80,53.91,56.01,58.12,60.22,40.22,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
14,0.93,20.23,22.34,24.44,26.55,28.66,30.76,32.87,34.97,37.08,39.18,41.29,43.39,45.50,47.60,49.71,51.81,53.92,56.02,58.13,60.23,40.23,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
15,1.00,20.25,22.35,24.46,26.56,28.67,30.77,32.88,34.98,37.09,39.19,41.30,43.40,45.51,47.61,49.72,51.82,53.93,56.03,58.14,60.25,40.25,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
16,1.07,20.26,22.36,24.47,26.57,28.68,30.78,32.89,34.99,37.10,39.20,41.31,43.41,45.52,47.62,49.73,51.84,53.94,56.05,58.15,60.26,40.26,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
17,1.13,20.27,22.37,24.48,26.58,28.69,30.79,32.90,35.00,37.11,39.21,41.32,43.42,45.53,47.64,49.74,51.85,53.95,56.06,58.16,60.27,40.27,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
18,1.20,20.28,22.38,24.49,26.59,28.70,30.80,32.91,35.01,37.12,39.23,41.33,43.44,45.54,47.65,49.75,51.86,53.96,56.07,58.17,60.28,40.28,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
19,1.27,20.29,22.39,24.50,26.60,28.71,30.82,32.92,35.03,37.13,39.24,41.34,43.45,45.55,47.66,49.76,51.87,53.97,56.08,58.18,60.29,40.29,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
20,1.33,20.30,22.40,24.51,26.62,28.72,30.83,32.93,35.04,37.14,39.25,41.35,43.46,45.56,47.67,49.77,51.88,53.98,56.09,58.19,60.30,40.30,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
21,1.40,20.31,22.42,24.52,26.63,28.73,30.84,32.94,35.05,37.15,39.26,41.36,43.47,45.57,47.68,49.78,51.89,53.99,56.10,58.21,60.31,40.31,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
22,1.47,20.32,22.43,24.53,26.64,28.74,30.85,32.95,35.06,37.16,39.27,41.37,43.48,45.58,47.69,49.80,51.90,54.01,56.11,58.22,60.32,40.32,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
23,1.53,20.33,22.44,24.54,26.65,28.75,30.86,32.96,35.07,37.17,39.28,41.38,43.49,45.60,47.70,49.81,51.91,54.02,56.12,58.23,60.33,40.33,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
24,1.60,20.34,22.45,24.55,26.66,28.76,30.87,32.97,35.08,37.19,39.29,41.40,43.50,45.61,47.71,49.82,51.92,54.03,56.13,58.24,60.34,40.34,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
25,1.67,20.35,22.46,24.56,26.67,28.78,30.88,32.99,35.09,37.20,39.30,41.41,43.51,45.62,47.72,49.83,51.93,54.04,56.14,58.25,60.35,40.35,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
26,1.73,20.36,22.47,24.58,26.68,28.79,30.89,33.00,35.10,37.21,39.31,41.42,43.52,45.63,47.73,49.84,51.94,54.05,56.15,58.26,60.36,40.36,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
27,1.80,20.38,22.48,24.59,26.69,28.80,30.90,33.01,35.11,37.22,39.32,41.43,43.53,45.64,47.74,49.85,51.95,54.06,56.17,58.27,60.38,40.38,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
28,1.87,20.39,22.49,24.60,26.70,28.81,30.91,33.02,35.12,37.23,39.33,41.44,43.54,45.65,47.76,49.86,51.97,54.07,56.18,58.28,60.39,40.39,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
29,1.93,20.40,22.50,24.61,26.71,28.82,30.92,33.03,35.13,37.24,39.34,41.45,43.56,45.66,47.77,49.87,51.98,54.08,56.19,58.29,60.40,40.40,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
30,2.00,20.41,22.51,24.62,26.72,28.83,30.93,33.04,35.15,37.25,39.36,41.46,43.57,45.67,47.78,49.88,51.99,54.09,56.20,58.30,60.41,40.41,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
31,2.07,20.42,22.52,24.63,26.74,28.84,30.95,33.05,35.16,37.26,39.37,41.47,43.58,45.68,47.79,49.89,52.00,54.10,56.21,58.31,60.42,40.42,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
32,2.13,20.43,22.54,24.64,26.75,28.85,30.96,33.06,35.17,37.27,39.38,41.48,43.59,45.69,47.80,49.90,52.01,54.11,56.22,58.33,60.43,40.43,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
33,2.20,20.44,22.55,24.65,26.76,28.86,30.97,33.07,35.18,37.28,39.39,41.49,43.60,45.70,47.81,49.91,52.02,54.13,56.23,58.34,60.44,40.44,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
34,2.27,20.45,22.56,24.66,26.77,28.87,30.98,33.08,35.19,37.29,39.40,41.50,43.61,45.72,47.82,49.93,52.03,54.14,56.24,58.35,60.45,40.45,165.000,0.9672,51.02,81.93,HOLD,0,36,1,0
